,ta,tw
1994-01-01,-5.612,
1994-01-02,-12.487,
1994-01-03,-9.492,
1994-01-04,-7.104,
1994-01-05,-14.696,
1994-01-06,-10.788,
1994-01-07,-9.237,
1994-01-08,-8.958,
1994-01-09,-10.496,
1994-01-10,-4.579,
1994-01-11,-8.692,
1994-01-12,-8.067,
1994-01-13,-13.583,
1994-01-14,-18.65,
1994-01-15,-19.55,
1994-01-16,-15.617,
1994-01-17,-14.779,
1994-01-18,-22.912,
1994-01-19,-20.417,
1994-01-20,-13.467,
1994-01-21,-7.808,
1994-01-22,-8.254,
1994-01-23,-5.525,
1994-01-24,-7.017,
1994-01-25,-11.578,
1994-01-26,-14.475,
1994-01-27,-10.604,
1994-01-28,-5.742,
1994-01-29,-12.967,
1994-01-30,-13.75,
1994-01-31,-14.346,
1994-02-01,-14.608,
1994-02-02,-12.883,
1994-02-03,-14.654,
1994-02-04,-15.508,
1994-02-05,-15.442,
1994-02-06,-17.365,
1994-02-07,-22.733,
1994-02-08,-19.921,
1994-02-09,-18.137,
1994-02-10,-16.308,
1994-02-11,-9.438,
1994-02-12,-6.513,
1994-02-13,-10.35,
1994-02-14,-11.175,
1994-02-15,-4.396,
1994-02-16,-5.304,
1994-02-17,-1.067,
1994-02-18,-0.737,
1994-02-19,4.659,
1994-02-20,-2.187,
1994-02-21,-8.452,
1994-02-22,-13.612,
1994-02-23,-11.2,
1994-02-24,-11.217,
1994-02-25,-12.425,
1994-02-26,-13.558,
1994-02-27,-11.417,
1994-02-28,-6.042,
1994-03-01,-6.004,
1994-03-02,-2.85,
1994-03-03,-0.304,
1994-03-04,0.496,
1994-03-05,0.662,
1994-03-06,1.438,
1994-03-07,-0.509,
1994-03-08,-7.55,
1994-03-09,-5.104,
1994-03-10,-4.504,
1994-03-11,-4.608,
1994-03-12,-0.721,
1994-03-13,-0.433,
1994-03-14,0.417,
1994-03-15,-3.667,
1994-03-16,-9.787,
1994-03-17,-7.567,
1994-03-18,-6.35,
1994-03-19,-3.933,
1994-03-20,-1.508,
1994-03-21,1.083,
1994-03-22,4.662,
1994-03-23,-1.742,
1994-03-24,-4.242,
1994-03-25,-3.7,
1994-03-26,-1.817,
1994-03-27,0.033,
1994-03-28,-1.725,
1994-03-29,-4.321,
1994-03-30,-3.825,
1994-03-31,1.125,
1994-04-01,0.133,
1994-04-02,-2.946,
1994-04-03,-3.317,
1994-04-04,-1.1,
1994-04-05,-5.842,
1994-04-06,-4.812,
